u,mu,t,i,ev,obs,val_re,val_im
1.0,0.0,0.0375,4,1,â⁺,-1.5264426159363578e-5,0.0
1.0,0.0,0.0375,4,1,â,-1.5264426159363578e-5,0.0
1.0,0.0,0.0375,4,1,n̂,0.5094635681462418,0.0
1.0,0.0,0.0375,5,1,â⁺,5.584013926194485e-5,0.0
1.0,0.0,0.0375,5,1,â,5.584013926194485e-5,0.0
1.0,0.0,0.0375,5,1,n̂,0.5095805602079628,0.0
1.0,0.0,0.0375,6,1,â⁺,4.155503538156767e-5,0.0
1.0,0.0,0.0375,6,1,â,4.155503538156767e-5,0.0
1.0,0.0,0.0375,6,1,n̂,0.5039623989010009,0.0
1.0,0.0,0.0375,7,1,â⁺,8.581056681730641e-5,0.0
1.0,0.0,0.0375,7,1,â,8.581056681730641e-5,0.0
1.0,0.0,0.0375,7,1,n̂,0.5184248203103333,0.0
1.0,0.0,0.0375,8,1,â⁺,0.00010059667230897825,0.0
1.0,0.0,0.0375,8,1,â,0.00010059667230897825,0.0
1.0,0.0,0.0375,8,1,n̂,0.4678106587204536,0.0
1.0,0.0,0.05,1,1,â⁺,-1.260628509400138e-5,0.0
1.0,0.0,0.05,1,1,â,-1.260628509400138e-5,0.0
1.0,0.0,0.05,1,1,n̂,0.4574890323872706,0.0
1.0,0.0,0.05,2,1,â⁺,-1.0029394290069919e-5,0.0
1.0,0.0,0.05,2,1,â,-1.0029394290069919e-5,0.0
1.0,0.0,0.05,2,1,n̂,0.523799306735135,0.0
1.0,0.0,0.05,3,1,â⁺,-8.170349031602643e-6,0.0
1.0,0.0,0.05,3,1,â,-8.170349031602643e-6,0.0
1.0,0.0,0.05,3,1,n̂,0.5059342075367558,0.0
1.0,0.0,0.05,4,1,â⁺,-2.502032586186155e-6,0.0
1.0,0.0,0.05,4,1,â,-2.502032586186155e-6,0.0
1.0,0.0,0.05,4,1,n̂,0.5127214996038947,0.0
1.0,0.0,0.05,5,1,â⁺,9.339043809530954e-6,0.0
1.0,0.0,0.05,5,1,â,9.339043809530952e-6,0.0
1.0,0.0,0.05,5,1,n̂,0.5126991897443012,0.0
1.0,0.0,0.05,6,1,â⁺,6.021826810811885e-6,0.0
1.0,0.0,0.05,6,1,â,6.0218268108118855e-6,0.0
1.0,0.0,0.05,6,1,n̂,0.5059897216709215,0.0
1.0,0.0,0.05,7,1,â⁺,1.6750593154744235e-5,0.0
1.0,0.0,0.05,7,1,â,1.6750593154744235e-5,0.0
1.0,0.0,0.05,7,1,n̂,0.5238022354462396,0.0
1.0,0.0,0.05,8,1,â⁺,1.6919402102693165e-5,0.0
